,000300.SH,000905.SH,399006.SZ,000906.SH,000852.SH,881001.WI
2017/9/20,0.00269282,0.008506951,0.00658008,0.004345538,0.008814495,0.005776063
2017/9/21,-0.001201764,-0.012017502,-0.010513778,-0.004288986,-0.011143593,-0.006457364
2017/9/22,-2.27E-05,-0.00605501,-0.00338819,-0.001731206,-0.004664773,-0.002545038
2017/9/25,-0.005195493,-0.01250234,-0.012217585,-0.007256015,-0.0150233,-0.009371275
2017/9/26,0.000783201,0.004757187,-0.002259683,0.001897943,0.001867716,0.001392414
2017/9/27,0.000109506,0.009572965,0.008419612,0.002771651,0.008261494,0.004501449
2017/9/28,0.000350309,-0.002331501,-0.00011251,-0.000409317,-0.005359481,-0.001833215
2017/9/29,0.00365273,0.005400171,0.006603426,0.004146881,0.00955295,0.005821279
2017/10/9,0.011913537,0.011375035,0.012242434,0.01176104,0.012571657,0.011524524
2017/10/10,0.0019721,0.004059403,0.014614744,0.002562987,0.006709204,0.004818721
2017/10/11,0.003296542,-0.005817867,-0.008295881,0.000712159,-0.004171514,-0.000752074
2017/10/12,0.0026307,-0.001106118,-0.000822697,0.001578045,-0.002634406,-0.000155517
2017/10/13,0.002056784,0.007616755,0.013730731,0.003618826,0.004065647,0.004133015
2017/10/16,-0.001926931,-0.013504215,-0.022526804,-0.005192462,-0.019170253,-0.010132752
2017/10/17,-9.64E-05,-0.000946156,-0.003024827,-0.000334098,-0.00185662,-0.000375654
2017/10/18,0.007946142,-0.007486213,-0.004705776,0.003632272,-0.009583068,-0.001115549
2017/10/19,-0.003273978,-0.009451908,-0.002969448,-0.0049818,-0.009600685,-0.006762364
2017/10/20,-0.001118601,0.010770619,0.009450711,0.002153268,0.012457106,0.005613262
2017/10/23,0.001004902,0.006290828,0.009863344,0.002472069,0.00543238,0.00375822
2017/10/24,0.007275164,-0.001475858,0.001544903,0.004837294,-0.005211139,0.000972713
2017/10/25,0.00443343,0.006798087,0.006084842,0.005088191,0.006039696,0.005810499
2017/10/26,0.004180642,0.003615703,-0.001328933,0.004023926,0.003892048,0.003991807
2017/10/27,0.007109519,-0.00616345,-0.007587814,0.003429644,-0.007585223,-0.000192992
2017/10/30,-0.003044729,-0.017953336,-0.021219651,-0.007138184,-0.025230363,-0.013399442
2017/10/31,-0.000749154,0.007439431,0.007435939,0.001474238,0.007509068,0.003566175
2017/11/1,-0.002519718,-0.001105286,0.001582586,-0.002133278,0.00051126,-0.000963758
2017/11/2,0.000128158,-0.010381378,-0.013446241,-0.002745737,-0.012190582,-0.005548427
2017/11/3,-0.001109895,-0.008935476,-0.007901481,-0.003232816,-0.008667545,-0.004680784
2017/11/6,0.007060815,0.013087936,0.009458056,0.008686524,0.009946809,0.008751432
2017/11/7,0.0082959,0.006272446,0.004737279,0.00774772,0.005934671,0.007005
2017/11/8,-0.001539324,0.001488629,0.003805186,-0.000720094,0.00281151,0.000825684
2017/11/9,0.006890825,0.007568477,0.009629169,0.0070746,0.005138598,0.006429191
2017/11/10,0.008835202,0.004517185,0.00876758,0.007663618,0.00173744,0.005499626
2017/11/13,0.003930557,0.004515588,0.003054933,0.004088788,0.001520723,0.003399092
2017/11/14,-0.006957798,-0.008497984,-0.00509647,-0.00737453,-0.007048161,-0.007159197
2017/11/15,-0.006264748,-0.011619494,-0.015099849,-0.007712063,-0.009317923,-0.008116141
2017/11/16,0.007693947,0.003158961,0.005448747,0.006473049,-0.002756821,0.002782228
2017/11/17,0.003858356,-0.029941714,-0.023619952,-0.005211276,-0.034892214,-0.015245254
2017/11/20,0.005577149,0.011196063,0.014098244,0.007047408,0.002722527,0.00595057
2017/11/21,0.01782603,0.00360348,-0.001499718,0.014089195,-0.00043183,0.008735238
2017/11/22,0.002338975,-0.002619142,-0.001929282,0.001049766,0.001109049,0.000778211
2017/11/23,-0.029608049,-0.025612515,-0.031616485,-0.028572862,-0.023068025,-0.02651756
2017/11/24,0.000440425,0.000560538,-0.006755198,0.000471637,0.001472537,0.000380935
2017/11/27,-0.013219593,-0.01329661,-0.01220493,-0.013239591,-0.010324513,-0.012385069
2017/11/28,0.001450883,0.016911634,0.018722306,0.005467481,0.015720721,0.008446782
2017/11/29,-0.000510525,0.003025124,-0.003615651,0.000418465,0.002257166,0.001012908
2017/11/30,-0.011755428,-0.008696454,-0.009555878,-0.010949665,-0.00549792,-0.008465268
2017/12/1,-0.001987669,0.008459626,0.019386979,0.000770449,0.008695376,0.003564615
2017/12/4,0.005182564,-0.005823975,-0.003799687,0.002254382,-0.010536179,-0.003030387
2017/12/5,0.005303324,-0.023362653,-0.021791331,-0.002261509,-0.027058669,-0.010150509
2017/12/6,-0.0060268,0.006504431,0.014628256,-0.002789798,0.010106835,0.00148139
2017/12/7,-0.011146961,-0.006047965,-0.004105161,-0.009817556,-0.000578187,-0.006662099
2017/12/8,0.00813947,0.011029815,0.008534376,0.008895867,0.009310698,0.009312342
2017/12/11,0.016516172,0.013383908,0.013854435,0.015694118,0.01164521,0.013442876
2017/12/12,-0.0131425,-0.008423911,-0.010068219,-0.011907187,-0.009054043,-0.011185318
2017/12/13,0.008485125,0.00709578,0.004113714,0.008120158,0.006218492,0.00770175
2017/12/14,-0.005911247,0.001057708,-0.006503607,-0.004082435,0.000942726,-0.002122751
2017/12/15,-0.011250396,-0.007689255,-0.005779772,-0.010311045,-0.003316528,-0.007914438
2017/12/18,0.001114233,-0.005736573,-0.001866003,-0.000697646,-0.00658208,-0.002728214
2017/12/19,0.012555669,0.008266579,0.010028954,0.011427192,0.005651026,0.009521779
2017/12/20,-0.001199307,-0.008298959,-0.008945832,-0.00306137,-0.010448715,-0.005306876
2017/12/21,0.009269022,0.006312891,0.004108475,0.008497658,0.001397302,0.006152507
2017/12/22,-0.003257275,0.000703054,-0.005809236,-0.00222639,-0.001977171,-0.001963291
2017/12/25,-0.003220615,-0.009177488,-0.013225809,-0.004775736,-0.013767334,-0.007338272
2017/12/26,0.002989529,0.005586629,0.001716875,0.003664494,0.00435625,0.004981826
2017/12/27,-0.015397315,-0.007555207,-0.007723642,-0.013355304,-0.004046396,-0.009983136
2017/12/28,0.006937725,0.005040763,-0.000125198,0.006440975,0.002008444,0.004983331
2017/12/29,0.002975319,0.007502978,0.004375028,0.004159174,0.008749867,0.005089671
2018/1/2,0.014028364,0.013023282,0.009710884,0.013764689,0.010651241,0.01258397
2018/1/3,0.005869573,0.008847819,0.014528852,0.006650334,0.009557275,0.007261298
2018/1/4,0.004236861,0.004583679,-0.000431329,0.004327986,0.0020935,0.003693736
2018/1/5,0.002407133,-4.38E-05,0.003794588,0.001763021,0.000279155,0.001513069
2018/1/8,0.005172817,0.004507863,0.002629983,0.004998394,0.0015916,0.003825178
2018/1/9,0.007004106,-6.76E-05,-0.001423133,0.005149957,-0.001606641,0.003066403
2018/1/10,0.004419715,-0.006175654,-0.006931359,0.001659116,-0.005289392,-0.000889666
2018/1/11,-0.00052923,0.003122196,0.007342144,0.000415725,0.005129335,0.001898778
2018/1/12,0.004616407,-0.004134243,-0.010270226,0.002345756,-0.006629625,-0.000153606
2018/1/15,5.64E-05,-0.022814389,-0.029726355,-0.005840405,-0.027851528,-0.012010023
2018/1/16,0.007865519,0.007636963,-0.001745966,0.007807596,0.004527163,0.007453483
2018/1/17,-0.002431999,-0.005343928,0.007190691,-0.003169934,-0.002559262,-0.002225545
2018/1/18,0.005484878,0.003085907,-0.002314822,0.004878279,0.001781542,0.00402638
2018/1/19,0.003272497,-0.002293806,-0.005674505,0.001867522,-0.002432744,0.000556212
2018/1/22,0.011948117,0.011998364,0.02318933,0.011960757,0.010987673,0.009762415
2018/1/23,0.010610969,0.001159408,-0.000217734,0.008235112,0.000773749,0.006506524
2018/1/24,0.001659375,0.00618444,0.025707294,0.002788879,0.007468844,0.004037533
2018/1/25,-0.005650694,-0.00181152,-0.001345907,-0.004689184,-0.001381581,-0.004040193
2018/1/26,0.0037159,0.000143309,0.003294448,0.002818329,-0.000937582,0.001076337
2018/1/29,-0.01809543,-0.01155261,-0.009373292,-0.016456002,-0.011838725,-0.014596336
2018/1/30,-0.01067313,0.000563941,-0.009652284,-0.007842041,-0.002472091,-0.006564457
2018/1/31,0.004651322,-0.019656584,-0.026560832,-0.001524542,-0.02361285,-0.008498912
2018/2/1,-0.007016256,-0.033056587,-0.021709373,-0.013512127,-0.041901989,-0.021645756
2018/2/2,0.005966889,0.003359643,0.002967144,0.005329589,-0.002856472,0.001667531
2018/2/5,0.000682192,-0.001103408,-0.008314016,0.000246611,-0.00401585,-0.000811056
2018/2/6,-0.029306624,-0.04900776,-0.053401513,-0.034106276,-0.049389345,-0.038574703
2018/2/7,-0.023714416,0.001239091,0.011441096,-0.017728965,0.002537871,-0.011417059
2018/2/8,-0.009492662,0.009655803,0.015485273,-0.004810926,0.012984761,-0.000110532
2018/2/9,-0.042719961,-0.036691762,-0.029803573,-0.041224404,-0.029688032,-0.037385864
2018/2/12,0.01287591,0.025959165,0.03488951,0.01613714,0.024901832,0.018054199
2018/2/13,0.01170349,0.006641858,0.000309149,0.010429577,0.002056562,0.007496598
2018/2/14,0.007960347,0.003117318,-0.001098035,0.006746069,0.002276631,0.005467043
2018/2/22,0.021621536,0.021007173,0.018820645,0.02146802,0.018684962,0.019765138
2018/2/23,0.004529215,0.003735589,-0.005322677,0.004331043,0.002967332,0.004046219
2018/2/26,0.011625809,0.022382204,0.036143908,0.014310429,0.022182447,0.016472877
2018/2/27,-0.014432239,-0.003171346,0.008321185,-0.011599321,0.003419681,-0.007188601
2018/2/28,-0.008706398,0.002182776,0.005784836,-0.005943631,0.005272675,-0.003201853
2018/3/1,0.006323824,0.011047687,0.020655129,0.007532136,0.014438357,0.009220216
2018/3/2,-0.008057447,-0.00556454,-0.009969222,-0.007417557,-0.00393581,-0.006415754
2018/3/5,0.000407324,0.001281782,0.013367566,0.000632199,0.006318404,0.002365281
2018/3/6,0.012062352,0.01343621,0.001067387,0.012415894,0.009226767,0.011778693
2018/3/7,-0.007355373,-0.009614948,-0.006864617,-0.007937505,-0.007024226,-0.006958953
2018/3/8,0.010143674,0.00739783,0.004454229,0.009437465,0.005477649,0.008499735
2018/3/9,0.007667525,0.012307107,0.03526268,0.008858354,0.016645466,0.011026944
2018/3/12,0.004575716,0.014306839,0.01398019,0.007082,0.016137452,0.009487799
2018/3/13,-0.008821668,-0.00661267,-0.005169334,-0.008248677,-0.005152171,-0.006968065
2018/3/14,-0.004377289,-0.010365716,-0.016761502,-0.005933232,-0.011116032,-0.007230306
2018/3/15,0.005601785,-0.001487434,0.004030437,0.003768037,-0.001577785,0.000516122
2018/3/16,-0.009701787,-0.005469967,-0.014814759,-0.008612876,-0.002656179,-0.00627851
2018/3/19,0.00439434,0.001224817,0.011858198,0.003576203,0.002141663,0.00316589
